RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,P+R,P+A,P+R+A,VI,ORtg,DRtg,PpG_Per36,RpG_Per36,ApG_Per36,SpG_Per36,BpG_Per36,TOpG_Per36,FTA_Per36,2PA_Per36,3PA_Per36
,Collin Sexton,Uta,*,G,26.3,63,27.9,27.0,15.6,251,0.865,596,0.513,271,0.406,0.543,0.593,21.1,22.6,25.3,8.5,114.5,117.6,23.7,3.5,5.4,0.9,0.1,3.2,5.1,12.2,5.6
,Anfernee Simons,Por,*,G,25.9,70,32.7,24.6,11.3,194,0.902,532,0.496,593,0.363,0.521,0.557,22.0,24.1,26.8,7.7,114.7,116.2,21.2,3.0,5.3,1.0,0.1,2.2,3.1,8.4,9.3
,Gary Trent Jr.,Mil,*,G,26.2,74,25.6,17.1,6.0,92,0.848,224,0.46,433,0.416,0.568,0.591,13.4,12.3,14.6,4.9,115.0,111.0,15.6,3.2,1.7,1.4,0.1,0.8,1.7,4.3,8.2
,P.J. Washington,Dal,*,F,26.6,57,32.2,20.4,15.1,198,0.722,426,0.493,239,0.381,0.521,0.556,22.4,17.0,24.7,8.0,106.6,110.0,16.4,8.7,2.6,1.2,1.2,2.3,3.9,8.4,4.7
,Trae Young,Atl,*,G,26.6,76,36.0,29.6,20.5,561,0.875,734,0.474,642,0.34,0.491,0.567,27.3,35.8,38.9,10.6,114.0,116.4,24.2,3.1,11.6,1.2,0.2,4.7,7.4,9.7,8.4
,Goga Bitadze,Orl,*,C-F,25.7,70,20.4,14.4,17.5,133,0.639,311,0.656,28,0.107,0.615,0.631,13.8,9.1,15.7,8.9,126.5,100.3,12.7,11.6,3.5,1.2,2.5,1.8,3.4,7.8,0.7
,Rui Hachimura,Lal,*,F,27.2,59,31.7,15.8,7.8,113,0.77,329,0.581,247,0.413,0.597,0.619,18.1,14.6,19.6,5.7,123.2,113.0,14.9,5.7,1.6,0.9,0.5,0.9,2.2,6.3,4.8
,Duncan Robinson,Mia,*,F,31.0,74,24.1,19.2,11.5,53,0.887,180,0.556,483,0.393,0.581,0.595,13.3,13.4,15.7,6.5,112.3,110.6,16.4,3.4,3.6,0.7,0.1,1.8,1.1,3.6,9.7
,Gabe Vincent,Lal,*,G,28.8,72,21.2,13.5,8.9,21,0.714,111,0.532,309,0.353,0.53,0.536,7.7,7.8,9.0,4.3,107.9,109.8,10.9,2.2,2.4,1.2,0.3,1.0,0.5,2.6,7.3
,Haywood Highsmith,Mia,*,F,28.3,74,24.6,11.3,12.1,43,0.721,158,0.57,233,0.382,0.572,0.583,9.9,8.0,11.4,5.2,116.2,107.5,9.5,5.0,2.2,1.3,0.7,1.0,0.9,3.1,4.6
